Metrics for Vertices: 1500, Edges:12000, Clusters:4, Terminals: 3, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,4,3124,12000,1500_andleE3_3_(0),5,5,1,3,3,1500
3,4,3020,12000,1500_andleE3_3_(1),5,5,1,3,3,1500
3,4,3016,12000,1500_andleE3_3_(2),5,5,1,3,3,1500
3,4,2857,12000,1500_andleE3_3_(3),5,5,1,3,3,1500
3,4,3042,12000,1500_andleE3_3_(4),5,5,1,3,3,1500
3,4,3094,12000,1500_andleE3_3_(5),5,5,1,3,3,1500
3,4,3029,12000,1500_andleE3_3_(6),5,5,1,3,3,1500
3,4,2969,12000,1500_andleE3_3_(7),5,5,1,3,3,1500
3,4,3046,12000,1500_andleE3_3_(8),5,5,1,3,3,1500
3,4,3019,12000,1500_andleE3_3_(9),5,5,1,3,3,1500
