Metrics for Vertices: 750, Edges:5750, Clusters:4, Terminals: 3, HubSize: 7, HubEdges: 7, Budget: 5
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
5,4,1187,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(0),7,7,1,5,3,750
5,4,1204,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(1),7,7,1,5,3,750
5,4,840,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(2),7,7,1,5,3,750
5,4,1237,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(3),7,7,1,5,3,750
5,4,848,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(4),7,7,1,5,3,750
5,4,804,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(5),7,7,1,5,3,750
5,4,1242,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(6),7,7,1,5,3,750
5,4,765,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(7),7,7,1,5,3,750
5,4,1243,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(8),7,7,1,5,3,750
5,4,841,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_5_(9),7,7,1,5,3,750
