Metrics for Vertices: 750, Edges:5750, Clusters:5, Terminals: 4, HubSize: 6, HubEdges: 6, Budget: 4
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
4,5,1576,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(0),6,6,1,4,4,750
4,5,1607,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(1),6,6,1,4,4,750
4,5,1076,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(2),6,6,1,4,4,750
4,5,1140,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(3),6,6,1,4,4,750
4,5,1007,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(4),6,6,1,4,4,750
4,5,1047,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(5),6,6,1,4,4,750
4,5,1013,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(6),6,6,1,4,4,750
4,5,1000,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(7),6,6,1,4,4,750
4,5,1077,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(8),6,6,1,4,4,750
4,5,1096,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_4_(9),6,6,1,4,4,750
