Metrics for Vertices: 500, Edges:4000, Clusters:5, Terminals: 4, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,5,672,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(0),5,5,1,3,4,500
3,5,717,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(1),5,5,1,3,4,500
3,5,809,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(2),5,5,1,3,4,500
3,5,714,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(3),5,5,1,3,4,500
3,5,718,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(4),5,5,1,3,4,500
3,5,723,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(5),5,5,1,3,4,500
3,5,701,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(6),5,5,1,3,4,500
3,5,774,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(7),5,5,1,3,4,500
3,5,744,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(8),5,5,1,3,4,500
3,5,707,4000,500_tImpl() == 0 || dj.getSize() == var.getSize()) || (ILOSTD(cerr) << "arrays sizes don't match" << ILOSTD(endl), ilo_stop_assert())4_3_(9),5,5,1,3,4,500
