Metrics for Vertices: 1000, Edges:8000, Clusters:4, Terminals: 3, HubSize: 6, HubEdges: 6, Budget: 4
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
4,4,1805,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(0),6,6,1,4,3,1000
4,4,1907,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(1),6,6,1,4,3,1000
4,4,1912,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(2),6,6,1,4,3,1000
4,4,1894,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(3),6,6,1,4,3,1000
4,4,1778,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(4),6,6,1,4,3,1000
4,4,1864,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(5),6,6,1,4,3,1000
4,4,1895,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(6),6,6,1,4,3,1000
4,4,1881,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(7),6,6,1,4,3,1000
4,4,1876,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(8),6,6,1,4,3,1000
4,4,1881,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_4_(9),6,6,1,4,3,1000
