Metrics for Vertices: 1500, Edges:12000, Clusters:4, Terminals: 3, HubSize: 7, HubEdges: 7, Budget: 5
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
5,4,2949,12000,1500_andleE3_5_(0),7,7,1,5,3,1500
5,4,2909,12000,1500_andleE3_5_(1),7,7,1,5,3,1500
5,4,2987,12000,1500_andleE3_5_(2),7,7,1,5,3,1500
5,4,2916,12000,1500_andleE3_5_(3),7,7,1,5,3,1500
5,4,1721,12000,1500_andleE3_5_(4),7,7,1,5,3,1500
5,4,3109,12000,1500_andleE3_5_(5),7,7,1,5,3,1500
5,4,3185,12000,1500_andleE3_5_(6),7,7,1,5,3,1500
5,4,3114,12000,1500_andleE3_5_(7),7,7,1,5,3,1500
5,4,3052,12000,1500_andleE3_5_(8),7,7,1,5,3,1500
5,4,2943,12000,1500_andleE3_5_(9),7,7,1,5,3,1500
