Metrics for Vertices: 750, Edges:5750, Clusters:4, Terminals: 3, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,4,1145,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(0),5,5,1,3,3,750
3,4,1268,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(1),5,5,1,3,3,750
3,4,1233,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(2),5,5,1,3,3,750
3,4,792,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(3),5,5,1,3,3,750
3,4,743,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(4),5,5,1,3,3,750
3,4,1225,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(5),5,5,1,3,3,750
3,4,747,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(6),5,5,1,3,3,750
3,4,1235,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(7),5,5,1,3,3,750
3,4,753,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(8),5,5,1,3,3,750
3,4,794,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_3_(9),5,5,1,3,3,750
