Metrics for Vertices: 750, Edges:5750, Clusters:5, Terminals: 4, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,5,1044,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(0),5,5,1,3,4,750
3,5,1066,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(1),5,5,1,3,4,750
3,5,1121,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(2),5,5,1,3,4,750
3,5,1176,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(3),5,5,1,3,4,750
3,5,1024,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(4),5,5,1,3,4,750
3,5,1088,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(5),5,5,1,3,4,750
3,5,1054,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(6),5,5,1,3,4,750
3,5,1094,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(7),5,5,1,3,4,750
3,5,1085,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(8),5,5,1,3,4,750
3,5,1035,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_3_(9),5,5,1,3,4,750
