Metrics for Vertices: 1000, Edges:8000, Clusters:5, Terminals: 4, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,5,1572,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(0),5,5,1,3,4,1000
3,5,1547,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(1),5,5,1,3,4,1000
3,5,1699,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(2),5,5,1,3,4,1000
3,5,1679,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(3),5,5,1,3,4,1000
3,5,1584,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(4),5,5,1,3,4,1000
3,5,1675,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(5),5,5,1,3,4,1000
3,5,1652,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(6),5,5,1,3,4,1000
3,5,1634,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(7),5,5,1,3,4,1000
3,5,1636,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(8),5,5,1,3,4,1000
3,5,1608,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_3_(9),5,5,1,3,4,1000
