Metrics for Vertices: 1000, Edges:8000, Clusters:4, Terminals: 3, HubSize: 7, HubEdges: 7, Budget: 5
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
5,4,1850,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(0),7,7,1,5,3,1000
5,4,1180,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(1),7,7,1,5,3,1000
5,4,1962,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(2),7,7,1,5,3,1000
5,4,1902,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(3),7,7,1,5,3,1000
5,4,1915,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(4),7,7,1,5,3,1000
5,4,1212,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(5),7,7,1,5,3,1000
5,4,1243,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(6),7,7,1,5,3,1000
5,4,1893,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(7),7,7,1,5,3,1000
5,4,1858,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(8),7,7,1,5,3,1000
5,4,1964,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_5_(9),7,7,1,5,3,1000
