Metrics for Vertices: 1500, Edges:12000, Clusters:4, Terminals: 3, HubSize: 9, HubEdges: 9, Budget: 7
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
7,4,3045,12000,1500_andleE3_7_(0),9,9,1,7,3,1500
7,4,2936,12000,1500_andleE3_7_(1),9,9,1,7,3,1500
7,4,3121,12000,1500_andleE3_7_(2),9,9,1,7,3,1500
7,4,3191,12000,1500_andleE3_7_(3),9,9,1,7,3,1500
7,4,3077,12000,1500_andleE3_7_(4),9,9,1,7,3,1500
7,4,3042,12000,1500_andleE3_7_(5),9,9,1,7,3,1500
7,4,3042,12000,1500_andleE3_7_(6),9,9,1,7,3,1500
7,4,3108,12000,1500_andleE3_7_(7),9,9,1,7,3,1500
7,4,3130,12000,1500_andleE3_7_(8),9,9,1,7,3,1500
7,4,2948,12000,1500_andleE3_7_(9),9,9,1,7,3,1500
