Metrics for Vertices: 1500, Edges:12000, Clusters:4, Terminals: 3, HubSize: 6, HubEdges: 6, Budget: 4
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
4,4,1818,12000,1500_andleE3_4_(0),6,6,1,4,3,1500
4,4,3172,12000,1500_andleE3_4_(1),6,6,1,4,3,1500
4,4,2956,12000,1500_andleE3_4_(2),6,6,1,4,3,1500
4,4,2937,12000,1500_andleE3_4_(3),6,6,1,4,3,1500
4,4,2992,12000,1500_andleE3_4_(4),6,6,1,4,3,1500
4,4,3048,12000,1500_andleE3_4_(5),6,6,1,4,3,1500
4,4,3085,12000,1500_andleE3_4_(6),6,6,1,4,3,1500
4,4,3050,12000,1500_andleE3_4_(7),6,6,1,4,3,1500
4,4,3020,12000,1500_andleE3_4_(8),6,6,1,4,3,1500
4,4,3112,12000,1500_andleE3_4_(9),6,6,1,4,3,1500
