Metrics for Vertices: 1000, Edges:8000, Clusters:4, Terminals: 3, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,4,1255,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(0),5,5,1,3,3,1000
3,4,1225,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(1),5,5,1,3,3,1000
3,4,1858,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(2),5,5,1,3,3,1000
3,4,1866,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(3),5,5,1,3,3,1000
3,4,1919,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(4),5,5,1,3,3,1000
3,4,1315,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(5),5,5,1,3,3,1000
3,4,1909,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(6),5,5,1,3,3,1000
3,4,1196,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(7),5,5,1,3,3,1000
3,4,1961,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(8),5,5,1,3,3,1000
3,4,1856,8000,1000_ GSA ADP Schedule Contract with IBM Corp.3_3_(9),5,5,1,3,3,1000
