Metrics for Vertices: 750, Edges:5750, Clusters:5, Terminals: 4, HubSize: 7, HubEdges: 7, Budget: 5
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
5,5,1611,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(0),7,7,1,5,4,750
5,5,1105,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(1),7,7,1,5,4,750
5,5,1134,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(2),7,7,1,5,4,750
5,5,1097,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(3),7,7,1,5,4,750
5,5,1139,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(4),7,7,1,5,4,750
5,5,1142,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(5),7,7,1,5,4,750
5,5,1086,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(6),7,7,1,5,4,750
5,5,1110,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(7),7,7,1,5,4,750
5,5,1100,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(8),7,7,1,5,4,750
5,5,1031,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]4_5_(9),7,7,1,5,4,750
