Metrics for Vertices: 1500, Edges:12000, Clusters:5, Terminals: 4, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,5,4462,12000,1500_andleE4_3_(0),5,5,1,3,4,1500
3,5,2445,12000,1500_andleE4_3_(1),5,5,1,3,4,1500
3,5,4453,12000,1500_andleE4_3_(2),5,5,1,3,4,1500
3,5,4578,12000,1500_andleE4_3_(3),5,5,1,3,4,1500
3,5,4451,12000,1500_andleE4_3_(4),5,5,1,3,4,1500
3,5,2345,12000,1500_andleE4_3_(5),5,5,1,3,4,1500
3,5,2461,12000,1500_andleE4_3_(6),5,5,1,3,4,1500
3,5,2534,12000,1500_andleE4_3_(7),5,5,1,3,4,1500
3,5,2491,12000,1500_andleE4_3_(8),5,5,1,3,4,1500
3,5,2472,12000,1500_andleE4_3_(9),5,5,1,3,4,1500
