Metrics for Vertices: 750, Edges:5750, Clusters:4, Terminals: 3, HubSize: 6, HubEdges: 6, Budget: 4
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
4,4,1186,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(0),6,6,1,4,3,750
4,4,1218,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(1),6,6,1,4,3,750
4,4,792,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(2),6,6,1,4,3,750
4,4,773,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(3),6,6,1,4,3,750
4,4,790,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(4),6,6,1,4,3,750
4,4,1198,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(5),6,6,1,4,3,750
4,4,799,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(6),6,6,1,4,3,750
4,4,1241,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(7),6,6,1,4,3,750
4,4,1176,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(8),6,6,1,4,3,750
4,4,1210,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_4_(9),6,6,1,4,3,750
